tweet,value
"10 most discussed #tech topics during #COVID19 

1️⃣ #DataAnalytics
2️⃣ #5G
3️⃣ #Telemedicine
4️⃣ #Drones
5️⃣ #AI /… https://t.co/gfmk0WuOfX",1
Is #handsanitizer as effective as hand washing? Can hand sanitizers remove harmful chemicals like pesticides and he… https://t.co/VoxKqMiL9I,1
'Ants crawling from wound': horrifying scenes at coronavirus-hit aged care home in Melbourne… https://t.co/TZVkkqJYz2,0
What doing during #COVID #COVID19 #Covid_19  times just out in nature more and no worrying . #SocialDistancing  wit… https://t.co/6HP7FxOsge,1
During #COVID19 we have dealt with many airlines and suppliers who worked with travel agents and clients. Unfortuna… https://t.co/S5VaxlE0Tx,1
"National Education Policy 2020 – Are We Walking The Talk? Read More:
https://t.co/QxJquQdt3A
@HRDMinistry @anuragbatrayo 
#COVID19",1
"This thread is terrifying. Don't let the virus affect you, please. Where the scientific community is fighting to un… https://t.co/A0r0tar5d0",0
"@amandamilling @Conservatives @ConHome Some don't, but many will never again take for granted Dawn breaking. The sw… https://t.co/n8VDc5Bi9C",1
read our latest blog by @KateMaple @SolentShowcase and their #engagement project during #covid19 #lockdown… https://t.co/ie6OKg2F4v,1
@NSWHealth #JustAsking What’s stopping you @GladysB from making 😷😷 compulsory in #NSW? Surely we should act before… https://t.co/3W6HsxUspE,1
"These deaths are on you,  your ""#COVID19 Task Force"", &amp; #LiarInChief who won't acknowledge it was more than a hoax.… https://t.co/UOxVg4CNJA",1
"@piersmorgan It does seem that so many death's are recorded as #COVID19.
I'm sure Boris would like to know the reas… https://t.co/5SI9fSS6Zg",1
@senatemajldr More GOP lies and coverups! #MoscowMitch Is a National disgrace and needs to be removed from office t… https://t.co/dRnq9RwjH5,1
"Group are holding a #virtual can collection. Please, if you’re able, donate &amp; share. Thank you.… https://t.co/swb5F6eEGX",1
"🇮🇳This Indipendence  Day Draw Your Own Flag.
Stay Home, Stay safe !! 🇮🇳#indipendanceday #india #covid19",1
"PS4 FOR SALE WORKS PERFECT HOT MY DMS WITH PRICES $$$ 
#PS4 #monstaxlivewithluv #MatiangiSpeaks #ไม่รับปริญญา… https://t.co/nguhugtNRE",1
"""...wear masks when appropriate,” US President Donald Trump says; voices hope on #COVID19 vaccine in North Carolina

https://t.co/NXGhxXri4Q",1
I hate this but I don't see how baseball can finish the season. #Cardinals #Marlins #mlb #whosnext #COVID19  #fml,0
Beware nasty surprises in your tax after #Covid19 chaos. Commission earners will also need to engage with the SARS… https://t.co/pKfBidgaeJ,0
@MoHFW_INDIA COVID-19 Testing Update . For more details visit: https://t.co/pewsrnUquv #ICMRFIGHTSCOVID19… https://t.co/9HQkBC0I0i,1
"@Pontifex Father, Good Morning In Always.😔💜🖤7 #JusticeMatters #NoRacism #COVID19 #HEROESACT #LeaveNoOneBehind… https://t.co/O5qgTXlaJC",1
@TBLightning #alcoholawareness Lose the Booze NHL-Learn more why-#COVID19,1
There is a trades union lady at the #covid19 committee meeting and she is exposing all sorts of wrong doings in mea… https://t.co/lJNcsXSZd1,0
Ohio please help us vote this idiot out of the office. #GymJordan #COVID19 https://t.co/DegUbkYgUK,0
Warm wishes to @ProfAdeeba and @ProfSharonLewin on their election to President and President-Elect of @iasociety. Y… https://t.co/yTeNe3ZpsV,1
$ATWT has rumors of news swirling arond it right now. Might be a good idea to grab some here! $BYOC $CYDY $IPIX… https://t.co/8z0QoSP23n,1
#CDC Director Warns: Mask Up or Face Possibly the Worst Fall in US Health History | #WearADamnMask  #health… https://t.co/pK08QhxMZu,0
"#Florida

EVERY 8 MINUTES

#COVID19 KILLS SOMEONE

and

@GovRonDeSantis says 

EVERYTHING IS JUST FINE! https://t.co/AU3E7TkhMQ",1
"Here's a series of Myth Buster about COVID-19. Stay Informed, Stay Safe!

#AhmedabadFightsCorona #COVID19 https://t.co/pAV11OP8Tc",1
The country that infected the world with #COVID19 wants Joe Biden to win the presidency. Remember in November!… https://t.co/uHqLmuTarw,1
It’s not an algorithm that is saving lives in the fight against COVID-19. How many more Ashley’s will be robbed of… https://t.co/NjBSiyVRie,1
"Show of hands if you lost work or a loved one from Dennison's handling of the #pandemic.

🙋‍♂️

#COVID19… https://t.co/vhjAYSjRJT",1
Tell tale sign of a market top: when people who know nothing about investing are making more money than the seasone… https://t.co/7aKyX6w6AD,1
"More than 30% recovered #COVID19 patients cannot be #plasma donors: #DAK

26 July 2020 || 11:30 PM https://t.co/pYeN7DVDe2",1
"#COVID19 crippled most of 2020. We all had plans &amp; resolutions but didn't make to fulfill them.
#Kenya via… https://t.co/wkboZE5pbQ",1
"The Science: Masks Are Neither Effective Nor Safe
“Schlieren imaging showed that both surgical masks and cloth mask… https://t.co/Mp8xhXUING",1
"Latest #COVID19 statistics
#COVID19Aus #COVID19India #COVID19USA https://t.co/i6q1ocMsdi",1
@Local4News is now warning people that onions may be killing people! #COVID19 has competition! WTF is next....an in… https://t.co/FjDVDJQhzB,0
"A sobering and profoundly sad list of educators lost to #COVID19 compiled by @educationweek, @smaliber.… https://t.co/MFzSVDpa1w",0
"A lot of people calling out the situations in DP centres and meat plants where vulnerable people are at risk.

A lo… https://t.co/bD6IGKo5mm",0
"The latest update of #Coronavirus (#COVID19) in the #UAE

#We_Are_All_Responsible
#YouAreResponsible https://t.co/HLq5gVYz3t",1
Learn how the UF Health Jacksonville #Safety department swiftly instilled appropriate health and safety protocols a… https://t.co/spZiZy5YRK,1
Some brave step has to be taken either by #WHO or by the countries who have completed the phase I/II trials of vacc… https://t.co/pSanUmPSCL,1
"While #Covid19 put a pause on everything, we found a way to be close to our beloved @KaizerChiefs 😁
#Khosi4Life… https://t.co/883Ai6LUjQ",1
"Risk is not just with the banks: too interconnected to fail
https://t.co/BTyBNNr7O4
@ausbanking @WiredOpinion #COVID19",0
"“As the civil war in Syria continues for a tenth year, the #COVID19 pandemic threatens vulnerable communities insid… https://t.co/oQaqinRTBK",0
@Raffy1011 I’ll see you there! I bet the cave in Newcastle was interesting to eat at ...but Zakynthos is my mission… https://t.co/tSzkyZfV3i,1
Yes thumbs up. Good day in the US. #COVID19 #unemployment #recession Donald Trump Golfs With Brett Favre as a Thous… https://t.co/1az449O0yJ,1
"This surely is Gladys' approach to border closure! Let anyone fly in from Vic &amp; catch a train, taxi, Uber  &amp; suppos… https://t.co/PGc9ajZfFu",1
"Some really interesting stuff in this thread, delving into the #COVID19 transmission question 👇 https://t.co/LU0oybIJvy",1
"@InsidersABC @David_Speers The David Speers joke show nahhhhhhhhhhhhhhh The ""I Love Scotty Hour"" #auspol… https://t.co/Og1wYdKhSA",1
Good information for Jefferson County MO constituents. #COVID19 #CovidTesting https://t.co/NuqeY52L7R,1
"UK suffers biggest job losses since 2009 as #COVID19 hits

Vía @Reuters https://t.co/U4hlGel9cz https://t.co/1QlwfZVqaQ",0
"COVID-19 has 'provided the “burning platform” for transforming supply chain planning '.
Great piece illustrating re… https://t.co/1lgSR5bDoq",1
Keep up to date with #Coronavirus and how to manage your health safely on our dedicated #COVID19 website. With dail… https://t.co/beXkET1y4i,1
Russians have always been good at doing things first. Let’s just hope it’s more successful than the Soviet Concorde… https://t.co/O8O33lcEpa,1
"Risk is the price you pay for opportunity and ACTION is what separates the BEST from the REST*

*Do today what othe… https://t.co/Y0I2L5eE5G",1
"It's sad that U.S. #COVID19 deaths are 153,642! I think about people sick without family members to comfort them. I… https://t.co/txnXVjQDYl",0
Check out the Hyderabad Times e-paper: https://t.co/RaFs4ccNZr and head to E-times for more movie news:… https://t.co/XelWJ26a6m,1
"Amazing speakers lined up for the ""Gendered Impacts of #Covid19"" webinar. Register here https://t.co/YW3XSxWj4C and… https://t.co/fWETMQFPKQ",1
"With #COVID19 surging nationwide, there’s concern about #voting safely. @DrJuanGilbert, @UFCISE chair, created a ti… https://t.co/9PlsusEAXL",1
"@DrTamilisaiGuv @CMofKarnataka Despite taking more precautions, the minister couldn’t escape from #COVID19 &amp; UGC is… https://t.co/2fXFrY4zNP",1
We're Better Together. #WoodsideHomesUtah is partnering with @HomeaidUtah for their Annual Diaper Drive! 👶 🍼  Click… https://t.co/ysQMB7avjL,1
ItsKnucc - Who They Hate https://t.co/r6dzLYvK9Q via @YouTube  #Rap #NewMusic #NewMusic2020 #Youtube #SubscribeNow… https://t.co/rF8qVkfba0,0
"In the news: Citing coronavirus, Trump administration weighs more restrictions on the US-Mexico border that ...… https://t.co/WH4Q52imOa",1
#coronavirus dealt many of the expats a severe blow as companies affected by the #lockdowns and closures could ill-… https://t.co/Hgw33upvP1,1
Well dang. Now I just want to travel. Stupid #COVID19.,0
Latest publication we contributed towards: NICE #publichealth guidance update. Actions by @NICEComms on #COVID19  A… https://t.co/soIg1XAdBc,1
"Effective handwashing technique.
#KomeshaCorona 
#COVID19 
#COVID19KE https://t.co/i7V5MIi4uQ",1
"Yes, but why's it ok for protests towards police killings and cancel culture around the country and the world to ta… https://t.co/XbU0GVBRla",1
"FDOH: Number of Florida children diagnosed with COVID-19 has more than doubled – WSVN 7News | Miami News, Weather,… https://t.co/wJkaV1T3H8",1
"I love me a good steam!⠀

#PandaMicSays #pandemic #coronavirus #covid19 #quarantine #PandaMic #humidity #steamy… https://t.co/IJbgTPcIIl",1
"Jim Jordan is an idiot, watch him question Fauci on protests and the spread of #COVID19 #coronavirus  https://t.co/WsocVWF1zw",0
Omaha doctor’s office issues controversial letter about children and COVID-19 | #covid19 | #kids | #childern https://t.co/FJFfXjO79F,1
BREAKING: America's Top Doctor Speaks! Debunks @POTUS @realDonaldTrump #WhiteCoatSummit #StellaImmanuel… https://t.co/PfN85ZDdeM,1
The role of observational study designs and data in the rapid stand-up of an evidence base for managing the… https://t.co/Ud7E6brhNF,0
"Great point by @DrLeanaWen on @postlive: ""If there was a pill that could reduce your likelihood of contracting… https://t.co/uause1Hzdy",1
Do you know what you can and cannot do under #COVID19 regulations? Be sure to brush up on your knowledge by visitin… https://t.co/cqVWAhVJsM,1
Discovering a vaccine that protects against #COVID19 is regarded as the best way to stop the continued spread of th… https://t.co/RDK53uqJwh,1
This is awesome! #COVID #COVID19 https://t.co/IfcAaSgtAy,1
Got tested for #Covid19 at one of @CoreResponse's MANY Drive-thru testing sites in L.A.. Kudos to @SeanPenn &amp; Ann L… https://t.co/26gxIjMb86,1
"I’m a Proud Skills development &amp; TVET champion on this #IYD2020 
I’m proud to see the youth being recognised in rec… https://t.co/Vq3nK9bZhs",1
Let’s say @NYGovCuomo that not sending #COVID19 #corpnavirus patients to nursing homes is a better strategy not to… https://t.co/Ds0IRKq67K,1
As building owners and facilities managers grapple with the task of keeping occupants safe in a post-#COVID19 world… https://t.co/graF00SRLj,1
"Stay home if your sick, come over if your thick #covid19",0
@repbenraylujan I'm proud to be a @GRAMMYAdvocacy #DistrictAdvocate! Today I join @RecordingAcad to urge Congress t… https://t.co/F4vN6MVGT4,1
@jackhutton @cspanwj @morningmika @joelockhart @JoeNBC @ProjectLincoln .@sharonstone So sorry for your family’s sit… https://t.co/3LOf856GJt,0
"‘Stay away.’ ‘Biggest petri dish in the world.’ The view from Canada, of us, isn’t so nice. #trumpvirus… https://t.co/tM6IYo98N5",1
COVID-19 Testing Update . For more details visit: https://t.co/rQLmb9gygh #ICMRFIGHTSCOVID19 #IndiaFightsCOVID19… https://t.co/woBtMExEof,1
Good morning South Africa. Droplets containing #COVID19 can linger on surfaces. Keeping surfaces clean can help pre… https://t.co/F5T5Wejk2K,1
"This is truly exceptional and accessible reporting and data journalism here from @katecallen, @jyangstar,… https://t.co/7l55XaURmT",1
"Just click here and see what will happy https://t.co/fteFbjU9Jc
#bbnaija2020lockdown 
#influencerchallange… https://t.co/hUHt4cvcQf",1
"We should all remember that Trump has control of the totals of #COVID19 numbers.

I am sure we all remember his ""on… https://t.co/IV5u4cddlH",1
"Tom Manwaring, @AFTAOfficial Chair, tells @FinancialReview we need to come up with solutions for safe travel during… https://t.co/oHeiZjrQnV",1
"Another awesome post by one of our #EduMatchAuthors @CaseyJ_edu!

Summer Learning Opportunities (During the Pandemi… https://t.co/oz2t0D6YBG",1
"dont be an idiot like the morons gathering in sturgis
#WearADamnMask 😷
#COVID19 
#coronavirus 
#superspreaders
#hotspots",0
"This has moved BEYOND stupid. It reaks of someone feeling their moment in the sun fading, and desperately attemptin… https://t.co/zKlej9UxIf",0
"#COVID19 Bulletin

Union Health Minister @drharshvardhan has announced successful completion of first Pan India 100… https://t.co/rZD5XPNkp5",1
I shared a ton of adorable + trendy face masks in my latest post! (plus some tips to make wearing a mask more comfo… https://t.co/fc2eBqifnW,1
"@spectatorindex Great. Now k!ck the 🐶 out from #WHO..
#COVID19",1
"You gotta love @goldiehawn love her spirit! #COVID19 #coronavirus
https://t.co/Caoi3F9sEq",1
"Still relevant today!
#COVID19 
#USPS #PoliceBrutality
#PresidentTrump 
#protests #Testing #Recession #Depression… https://t.co/s5yN0RjOSg",1
"#COVID19 #coronavirus #facemasks some people are posting false claims that wearing masks are dangerous, these are p… https://t.co/yPxRWPjK5C",0
"""The good thing about science is that it's true whether or not you believe in it.""
 — Neil deGrasse Tyson
#Science… https://t.co/QKRcArZECw",1
"SWEEPER OF THE DAY: “The Mix 105.7 is playing more of the music from the days before mask mandates, contact tracing… https://t.co/Q3MWobjYvz",1
Rise up we’re needed now more than ever. Let’s gooooo 🙌#COVID19 #COVID19Vic #5G #SaveTheChildren https://t.co/ulWwLXmXoG,1
Another professor whose university required them to teach in person through the outbreak has died. Infuriating. As… https://t.co/OFkCl0MBN7,0
"Ending this #COVID19 thread
My isolation ended and recovering. 
Stay safe. Stay at home.",1
Good Morning Fellow #COVID19 #CoronaBollocks #Plandemic Sceptics; did anyone else see this story about the… https://t.co/2tcaa9bSwq,1
Restaurants &amp; bars can now reopen dine-in services with measures to keep staff and customers safe as we continue li… https://t.co/2bJ6MdADmu,1
"Are Face Masks Effective? The Evidence.
https://t.co/QnKN5VCTAy 

Nine clinical studies found no evidence of a redu… https://t.co/f6OJX2x6QF",1
"@SimonGIS Nice #ArcGISDashboards example

@Esri_Health @GISPublicSafety @esriaustralia @Esri #healthGIS… https://t.co/l8ViFvuNLW",1
"@jimcramer This can't be good news? https://t.co/7NCrYkB65Y
#Covid19 
#furlough 
#unemployment 
#Economics",1
"Mohatrama,  love is beautiful feeling, keep loving #Kashmir. I also love Kashmir !

#25julyblackday #25Jul… https://t.co/RSgTL1RUGO",1
Want to know more about our views on #FoodSystems and #ClimateChange in relation with #COVID19 ? Don’t miss out on… https://t.co/0ZqTZDKOeX,1
"Someone tell that man that #Hydroxychloroquine doesn’t work for #covid19, and that he didn’t get better! 🙄🙄🙄Brazili… https://t.co/Oovt6PWR2r",1
"@Facebook so you remove a terrible video from your app but when someone reports the video being reposted by others,… https://t.co/U6Id3uZr3t",0
"“Only changed people can change the world￼￼. Start with yourself.” Rick Warren

Have a great day Friends! ❤️… https://t.co/OmgvYSQHVM",1
"#covid19 Maybe those who don't want to wear a mask don't want to smell their own stinking breath, it would be a hor… https://t.co/8Ya1i7t6XS",1
@realDonaldTrump It will be 'greater' when you're out! #AmericaOrTrump #COVID19 #IgnoreTrump,1
🆕 Let's go back to work prepared! This kit is perfect for so many businesses. #COVID19 #BacktoWork  #Masks… https://t.co/tg2wUGUIKj,1
Don't forget that we have 6 fascinating talks from our recent#SARSCoV2 #COVID19 webinar series to watch or watch ag… https://t.co/OH5hFWiwlN,1
@DavidBflower I hear you my friend! Weather here has been terrible as well!  I'm also suffering from chronic… https://t.co/x14e82595K,0
@DeaconBlues0 And alcohol is really bad for #COVID19.,0
Some very interesting findings &amp; suggestions from @InstituteGC on #COVID19 https://t.co/rSyyRAbUSk,1
#COVID19 has taught some of us how to take time and 'smell the roses'. Good morning my tweeps 🤗 #sundayvibes,1
"So interesting!
""Triaging” pediatric surgical cases during a pandemic
#PediatricSurgery &amp; #Covid19

#SoMe4PedSurg https://t.co/KUKWDDbe1q",1
@PRAVEEN020897 @FijiPM Care to elaborate how religion play part in spread of #COVID19? Or are you talking about cul… https://t.co/hp7lnPWN85,1
"Good question, @marclueck Great article on how the role of the CISO and corporate security controls need to expand… https://t.co/YMXKTzV4ec",1
"@realDonaldTrump @BorisEP I'm sad about regis but really?You give his wife your warmest condolences, etc. when you… https://t.co/QUxD7xqcjR",0
Netflix and chill is the best hope it continues ❤️🤣🥺🤣☺️   #covid19,1
"Relief bill could include coronavirus service jobs 

READ MORE: https://t.co/X4QPUgkr7Y

#cdc #coronavirus #covid19… https://t.co/bAzyo80ho9",1
"#quarantine #COVID19 #StayHome 🤣🤡 
I love food 😝 https://t.co/5WAZtQ0Aq8",1
"#RMCO: From July 24 until yesterday (Aug 8), 8,011 people arrived at the country's entry points and were sent to 36… https://t.co/mN4hhbRg6J",1
"@helen_it Of course.
#ScottyFromMarketing can push the blame elsewhere but many inquiries and a royal commission do… https://t.co/QeTPEtDfAV",1
"Way to fail us @BrianKempGA
@GovKemp Daddy's disappointed in you! 
#COVID19 #coronavirus #recallkemp
 https://t.co/pz9XH26EQx",0
Did #Cespedes opt out without telling anyone b/c of #covid19 or his poor performanc or a combo?! #mets https://t.co/2aVM40IV9Z,0
What a sick farce. The #Hydroxychloroquine #COVID19 Fraud and Mr. #Marxism #McKneeler https://t.co/E3kmMgtG9q,0
"😭 To the memory of the 149,849 Americans and the 652,039 people worldwide who have sadly passed away from Covid-19.… https://t.co/lUKZSnAG8H",0
@GovRonDeSantis I watched #Fauci today and your own Republicans senators and YOU have been used as a #FallGuy as tr… https://t.co/lVWVPKHWCJ,1
"Stay Home , Stay Safe!
.
.
.
#LetsFightTogether #NagpurStandTogether #NagpurLockdown #NagpurCurfew… https://t.co/12xiVnpj3W",1
"Delighted to announce our latest exhibitor, contract #cleaning and services provider @FacilicomUK. With their focus… https://t.co/PQACNOq9IX",1
"@RolandWDutton All done!

""..to presume an agent, thoroughly isolate it,""
YES, the many papers about virus isolatio… https://t.co/ot2230pjBA",1
"@jumperl @beckyadenton Honestly, the way #COVID19 ravages the body - even after supposed recovery - it acts more like AIDS than the flu. 😢",1
He is scared he might get #COVID19 give him a chance he will fly overseas and meet Corona warrior there https://t.co/nTkDUehztr,1
"Thank you @NHS_ELFT for our wonderful water bottles, so needed on a day like today when it was super hot in the… https://t.co/vwJDU5J0PE",1
@Gazaonline995 Better they die from #COVID19 ??,1
Great news from @realDonaldTrump ! 99.9% #200Kdeaths #covid19 are adults! #realDonaldTrump looking at the… https://t.co/vDD1rtO3WN,1
@Compro61 @ParZevil Cool‼️ I am in NW Ohio... Growing up we went to Cedar Point every summer‼️I have ridden most AL… https://t.co/Ttv4UpIBhy,1
Love of my Life - sung by me! #singing #COVID19 #furlough #life @QueenWillRock #SaveTheArts #love #performance https://t.co/Z54zFDdm35,1
"Just so you #COVIDIOTS know. ""Sadly today we announced the death of a 5-year-old child from #COVID19. This is our f… https://t.co/YYrPEVkfoa",0
"#Trichy city has more deaths than 15 districts including #Erode and #Tiruppur.
#Covid19
@timesofindia https://t.co/wbo3ILEVuL",1
#Malaysia Has Detected A #NewStrain Of The #Coronavirus That’s Been Found To Be 10 Times More Infectious… https://t.co/Z7gS0RkqOq,1
"@nytimes 🙏🕯🙏
#thoughtsandprayers for his loved ones.
#COVID19 is No Joke.",1
@TeacherTapp It’s concerning: 1) how many teachers do not know the plans in place for September regarding masks wor… https://t.co/GbjpyFHSd6,1
The #Coronavirus is bringing more hardship to people already struggling. These emergency food parcels &amp; hygiene pro… https://t.co/y1lVRU6DxX,1
Hey #Ontario! #COVID19 isn't over you dickheads! Get the fuck inside! Wash your fucking hands and stay the fuck away from others!,0
This portrait is made up of pictures of all the doctors and nurses who have sadly passed away in this pandemic acro… https://t.co/L09jUezWBq,0
"#day131 #covid19 neighborhood golf outing with these guys, great day...and then finished around the fire pit...sanc… https://t.co/N9foVYKdnv",1
"BloombergCities: While #publictransit ridership has plummeted during the #COVID19 crisis, there are still many esse… https://t.co/PycZ12Q05Z",1
"The US is the worst-hit country from the pandemic with over 4.7 million cases and more than 155,000 deaths.… https://t.co/7UWqUTTepn",1
"For those who say we have more #COVID19 cases because we're testing more people:
The number of cases in NJ has gone… https://t.co/E2Cd5kHA8N",1
"The more they test, the more they can keep us in fear. #COVID19 #WWG1GWA https://t.co/p8T40KIYOG",1
"In Africa, the country of Rwanda is winning the fight against COVID19 pandemic! #Africa #COVID19 #tech #pandemic… https://t.co/KXul40n1DS",1
"❤️ Happy Sunday Friends ❤️

#SomyaKiDuniya  #SoumyaPandey #actress #model #Supermodel #doodle #cartoon #Animation… https://t.co/OiWkAmKEvV",1
"#Coronavirus | Here's a look at the latest updates of the day.

#Covid19 #Covid_19 #Coronavaccine 
https://t.co/aILCM66xSi",1
"Just give it two more weeks. 

If nothing has improved, please read this again. 

We’ve been doing this since March. #justkeepgoing #COVID19",1
Here is the latest update on coronavirus cases in the country. #FirstUP #India #COVID19 https://t.co/egyMvvXW7S,1
"In this latest feature, Lesley McLeod of @apstalk writes about changes need to be made within the #construction… https://t.co/nZxwEOSw0M",1
"All these celebrities, politicians, athletes and many civilians getting Coronavirus and there are some people who s… https://t.co/72fzyjGAHV",1
It's Saturday once again. Share the happy moment with loved ones. Have a blissful weekend. #COVID19… https://t.co/O5l2RaB658,1
@SenAmyKlobuchar @SenTinaSmith Please help pass meaningful #COVID19 relief legislation with a robust boost for… https://t.co/zxEnjHyZLA,1
"What are the odds of catching coronavirus on a #flight?

Know the risks: Planes have not been the sites of superspr… https://t.co/MpiuLSTiJX",1
@Jim_Jordan I love college football. I played college football. It's one of the best things there is... It's an abs… https://t.co/Yegux8QxY4,1
"In meeting with PM @narendramodi, states seek more funds to tackle #COVID19; some ask for removal of spending cap… https://t.co/jEtthgj5ZY",1
"Read all about this incredible initiative at the link below or better still, go marvel at it in the Cathedral of Sa… https://t.co/XkevleRlWR",1
"Learn the best online #Hadoop, #MachineLearning, #DataScience/Analytics and many more including mini real-life proj… https://t.co/rR7sAG1lNY",1
"COVID Deaths by Location: @CDC data shows that more people are dying of #COVID19 at home (n=14,773) than in the ED… https://t.co/sHssiVvnbp",1
Oh great. One of my colleagues is a #COVID19 denier. 🙄,1
Health Canada recalls more than 50 hand sanitizers in evolving pandemic list | CBC News https://t.co/Openuh6O3T… https://t.co/DmYuruKzpu,1
"BREAKING: 100,000 people have now signed up to help find a #COVID19 vaccine, but researchers need more people to re… https://t.co/ryfYWdOauN",1
"#अनंत_हेगड़े_माफ़ी_मांगो 
#BSNL_Pride_Of_India  #Even in the terrible situations of #COVID19, #BSNL staff provision… https://t.co/RemPC5yNot",0
"May Lord Krishna make your life full of Joy, Prosperity and shower a blessing on you. May you get a lot of happines… https://t.co/hRyXSzIarP",1
@LauraCatPJs @donasarkar Oh and i got the perfect solution.. Teleporting... Just need to keep #COVID19 and #flyes out of the pod.,1
"Calling innovators - $5M #XPRIZE 💰

Great call yesterday @daniel_kraft @PeterDiamandis &amp; @xprize Pandemic Alliance… https://t.co/NlCNWzkJHZ",1
Immigrant workers have been at the forefront of fighting this pandemic. Yet too many immigrants haven't received fi… https://t.co/4GbwvZQIVk,1
Beware of Frozen Food: China Says Authorities Found Coronavirus on Imported Chicken Wings From Brazil… https://t.co/4KvrVRouho,0
